name,symbol,description,sector
JPMORGAN CHASE & CO,JPM,"JPMorgan Chase & Co. is a financial holding company, which engages in the provision of financial and investment banking services. It focuses on investment banking, financial services for consumers and small businesses, commercial banking, financial transaction processing, and asset management. It operates through the following segments: Consumer and Community Banking (CCB), Commercial and Investment Bank (CIB), Asset and Wealth Management (AWM), and Corporate. The CCB segment originates and services mortgage loans. The CIB segment makes markets and services clients across fixed income, foreign exchange, equities, and commodities. The AWM segment provides initial capital investments in products such as mutual funds and capital invested alongside third-party investors. The Corporate segment manages its liquidity, funding, capital, structural interest rate, and foreign exchange risks. The company was founded in 1799 and is headquartered in New York, NY.",Financials
OCCIDENTAL PETROLEUM CORP,OXY,"Occidental Petroleum Corp. engages in the exploration and production of oil and natural gas. It operates through the following segments: Oil and Gas, Chemical, and Midstream and Marketing. The Oil and Gas segment explores for, develops and produces oil and condensate, natural gas liquids, and natural gas. The Chemical segment manufactures and markets basic chemicals and vinyls. The Midstream and Marketing segment purchases, markets, gathers, processes, transports and stores oil, condensate, natural gas liquids, natural gas, carbon dioxide, and power. The company was founded in 1920 and is headquartered in Houston, TX.",Energy
US BANCORP,USB,"U.S. Bancorp operates as a bank holding company, which offers financial services including lending and depository services, cash management, foreign exchange and trust and investment management. The firm also offers mortgage, refinance, auto, boat and RV loans, credit lines, credit card services, merchant, bank, checking and savings accounts, debit cards, online and mobile banking, ATM processing, mortgage banking, insurance, brokerage and leasing services. The company was founded on April 2, 1929, and is headquartered in Minneapolis, MN.",Financials
MEDICAL PROPERTIES TRUST INC,MPW,"Medical Properties Trust, Inc. is a self-advised real estate investment trust. It engages in the investment, acquisition, and development of net-leased healthcare facilities. Its property portfolio includes rehabilitation hospitals, long-term acute care hospitals, ambulatory surgery centers, hospitals for women and children, regional and community hospitals, medical office buildings, and other single-discipline facilities. The company was founded by Edward K. Aldag Jr., R. Steven Hamner, Emmett E. McLean, and William Gilliard McKenzie in 2003 and is headquartered in Birmingham, AL.",Real Estate
CONAGRA BRANDS INC,CAG,"Conagra Brands, Inc. engages in the manufacture and sale of processed and packaged foods. It operates through the following segments: Grocery and Snacks, Refrigerated and Frozen, International, and Foodservice. The Grocery and Snacks segment includes branded, and shelf stable food products sold in various retail channels in the United States. The Refrigerated and Frozen segment is composed of branded, and temperature-controlled food products sold in various retail channels in the United States. The International segment offers branded food products in various temperature states, sold in various retail and foodservice channels outside of the United States. The Foodservice segment focuses on branded and customized food products, including meals, entrees, sauces, and a variety of custom-manufactured culinary products packaged for sale to restaurants and other foodservice establishments in the United States. The company was founded by Alva Kinney and Frank Little in 1919 and is headquartered in Chicago, IL.",Consumer Staples
EVOLUTION AB,EVVTY,"Evolution AB engages in the development, production, marketing, and licensing business to business casino solutions to gaming operators. It provides live casino studios, land-based live casino, mobile live casino, and live casino for television. The company was founded by Richard Hadida, Jens von Bahr and Fredrik Osterberg in 2006 and is headquartered in Stockholm, Sweden.",Consumer Discretionary
ENBRIDGE INC,ENB,"Enbridge, Inc. engages in the provision of gas and oil. It operates through the following segments: Liquid Pipelines, Gas Distribution and Storage, Gas Transmission and Midstream, Renewable Power Generation, and Energy Services. The Liquids Pipelines segment consists of common carrier and contract crude oil, natural gas liquids and refined products pipelines and terminals in Canada and the U.S., including Canadian Mainline, Regional Oil Sands System, Southern Lights Pipeline, Spearhead Pipeline, Seaway Crude Pipeline interest, and other feeder pipelines. The Gas Distribution & Storage segment consists of natural gas utility operations, the core of which is Enbridge gas, which serves residential, commercial and industrial customers. It also includes natural gas distribution activities in Quebec and an investment in Noverco, which holds a majority interest in a subsidiary entity engaged in distribution and energy transportation primarily in Quebec. The Gas Transmission & Midstream segment consists of investments in natural gas pipelines, processing and green energy projects, the company's commodity marketing businesses, and international activities. The Renewable Power Generation segment consists primarily of investments in wind and solar power generating assets, as well as geothermal, waste heat recovery, and transmission assets. The Energy Services segment consists of businesses in Canada and the United States including logistical services, refinery supply services and the firm's volume commitments on various pipeline systems. The company was founded on April 30, 1949 and is headquartered in Calgary, Canada.",Energy
APPLOVIN CORP,APP,"AppLovin Corp. engages in the development and operation of a mobile marketing platform. It offers AppDiscovery, MAX, Adjust, and SparkLabs. Its software-based platform caters to mobile application developers to improve the marketing and monetization of applications. The company was founded by Andrew Karam, John Krystynak, and Adam Foroughi in 2011 and is headquartered in Palo Alto, CA.",Information Technology
SERVICENOW INC,NOW,"ServiceNow, Inc. engages in the provision of an end-to-end workflow automation platform for digital businesses. Its Now Platform is a cloud-based solution embedded with artificial intelligence (AI) and machine learning (ML). The company was founded by Frederic B. Luddy in June 2004 and is headquartered in Santa Clara, CA.",Information Technology
CONSTELLATION BRANDS INC,STZ,"Constellation Brands, Inc. engages in the production, marketing, and distribution of beer, wine, and spirits. It operates through the following segments: Beer, Wine and Spirits, Corporate Operations and Other, and Canopy. The Beer segment includes imported and craft beer brands. The Wine and Spirits segment sells wine brands across all categories-table wine, sparkling wine, and dessert wine-and across all price points. The Corporate Operations and Other segment refers to the costs of executive management, corporate development, corporate finance, human resources, internal audit, investor relations, legal, public relations, and information technology. The Canopy segment consists of canopy equity method Investments. The company was founded by Marvin Sands in 1945 and is headquartered in Rochester, NY.",Consumer Staples
CISCO SYSTEMS INC,CSCO,"Cisco Systems, Inc. engages in the design, manufacture, and sale of Internet Protocol-based networking products and services related to the communications and information technology industry. The firm operates through the following geographical segments: the Americas, EMEA, and APJC. Its products include the following categories: Secure, Agile Networks, Internet for the Future, Collaboration, End-to-End Security, Optimized Application Experiences, and Other Products. The company was founded by Sandra Lerner and Leonard Bosack in 1984 and is headquartered in San Jose, CA.",Information Technology
VISTRA CORP,VST,"Vistra Corp. is a holding company, which engages in the provision of electricity and power generation. It operates through the following segments: Retail, Texas, East, West, Sunset, and Asset Closure. The Retail segment sells electricity and natural gas to residential, commercial, and industrial customers. The Texas and East segments are involved in electricity generation, wholesale energy sales and purchases, commodity risk management activities, fuel production and fuel logistics management. The West segment represents the company's electricity generation operations in CAISO. The Sunset segment includes generation plants with announced retirement plans. The Asset Closure segment refers to the decommissioning and reclamation of retired plants and mines. The company was founded in 1882 and is headquartered in Irving, TX.",Utilities
RTX CORP,RTX,"RTX Corp. is an aerospace and defense company, which engages in the provision of aerospace and defense systems and services for commercial, military, and government customers. It operates through the following segments: Collins Aerospace Systems (Collins), Pratt and Whitney, Raytheon Intelligence and Space (RIS), and Raytheon Missiles and Defense (RMD). The Collins segment manufactures and sells aero structures, avionics, interiors, mechanical systems, mission systems, and power controls. The Pratt and Whitney segment includes the design and manufacture of aircraft engines and auxiliary power systems for commercial, military, and business aircraft. The RIS segment is involved in the development of sensors, training, and cyber and software solutions. The RMD segment offers end-to-end solutions to detect, track, and engage threats. The company was founded in 1922 and is headquartered in Arlington, VA.",Industrials
KIMBERLY CLARK CORP,KMB,"Kimberly-Clark Corp. engages in the manufacture and marketing of products made from natural or synthetic fibers. It operates through the following segments: North America, International Personal Care, and International Family Care and Personal. The North America segment consists of products encompassing each of daily-need categories across consumer and professional channels including disposable diapers, training and youth pants, swimpants, baby wipes, feminine and incontinence care products, reusable underwear, facial and bathroom tissue, paper towels, napkins, wipers, tissue, towels, soaps and sanitizers and other related products. The International Personal Care segment consists of three core categories: Baby & Child Care, Adult Care, and Feminine Care, including disposable diapers, training and youth pants, swimpants, baby wipes, feminine and incontinence care products, reusable underwear and other related products. The International Family Care and Professional segment consists of two core categories: Family Care and Professional, including facial and bathroom tissue, paper towels, napkins, wipers, tissue, towels, soaps and sanitizers and other related products. The company was founded by John A. Kimberly, Havilah Babcock, Charles B. Clark, and Frank C. Shattuck in 1872 and is headquartered in Irving, TX.",Consumer Staples
S&P GLOBAL INC,SPGI,"S&P Global, Inc. engages in the provision of transparent and independent ratings, benchmarks, analytics, and data to the capital and commodity markets worldwide. It operates through the following segments: Market Intelligence, Ratings, Commodity Insights, Mobility, Indices, and Engineering Solutions. The Market Intelligence segment provides multi-asset-class data and analytics integrated with purpose-built workflow solutions. The Ratings segment is involved in credit ratings, research, and analytics, offering investors and other market participants information, ratings, and benchmarks. The Commodity Insights segment focuses on information and benchmark prices for the commodity and energy markets. The Mobility segment offers solutions serving the full automotive value chain including vehicle manufacturers, automotive suppliers, mobility service providers, retailers, consumers, and finance and insurance companies. The Engineering Solutions segment engages in advanced knowledge discovery technologies, research tools, and software-based engineering decision engines to advance innovation, maximize productivity, improve quality, and reduce risk. The company was founded by James H. McGraw and John A. Hill in 1917 and is headquartered in New York, NY.",Financials
WASTE MANAGEMENT INC,WM,"Waste Management, Inc. is a holding company, which engages in the provision of waste management environmental services. It operates through the following segments: Collection and Disposal-East Tier (East Tier), Collection and Disposal-West Tier (West Tier), Recycling Processing and Sales, WM Renewable Energy, and VM Healthcare Solutions. The East Tier segment includes the Eastern United States, the Great Lakes Region, and Canada. The West Tier segment refers to the upper Midwest region and British Columbia, Canada. The Recycling Processing and Sales segment focuses on the processing and sales of materials collected from residential, commercial, and industrial customers. The WM Renewable Energy segment develops, operates, and promotes projects for landfill gas use. The VM Healthcare Solutions segment relates to its primarily business to business company providing services that protect people and brands, promote health and well-being and safeguard the environment. The company was founded on September 30, 1987 and is headquartered in Houston, TX.",Industrials
ACCENTURE PLC,ACN,"Accenture is a global professional services company that helps the world’s businesses, governments and other organizations build their digital core, optimize their operations, accelerate revenue growth and enhance citizen services, creating tangible value at speed and scale. The firm combines technology and leadership in cloud, data and AI with industry experience, functional expertise and global delivery capability. Its services include Strategy & Consulting, Technology, Operations, Industry X, and Song. It operates through the following geographical segments: North America, EMEA, and Growth Markets. The company was founded in 1951 and is headquartered in Dublin, Ireland.",Information Technology
BLACKROCK INC,BLK,"BlackRock, Inc. engages in the provision of investment, advisory and risk management solutions. Its products include single-asset and multi-asset portfolios. The company was founded by Laurence Douglas Fink in 1988 and is headquartered in New York, NY.",Financials
DUOLINGO INC,DUOL,"Duolingo, Inc. is a language-learning website and mobile application, which engages in the development of a free language learning website and crowd sourced text translation platform. It offers Duolingo for Schools, a free, web-based tool that aims to make it easier for teachers to use the Duolingo platform in a structured learning environment, and English Test, an online, on-demand assessment of English proficiency. The company was founded by Luis von Ahn and Severin Hacker in 2011 and is headquartered in Pittsburgh, PA.",Consumer Discretionary
GENUINE PARTS CO,GPC,"Genuine Parts Co. engages in the distribution of automotive and industrial replacement parts. It operates through the following segments: Automotive Parts Group, Industrial Parts Group, and Corporate. The Automotive Parts Group segment distributes replacement parts, other than body parts for substantially all makes and models of automobiles, trucks, and other vehicles. The Industrial Parts Group segment offers a range of industrial bearings, mechanical and fluid power transmission equipment, including hydraulic and pneumatic products, material handling components, and related parts and supplies. The company was founded by Carlyle Fraser on May 7, 1928, and is headquartered in Atlanta, GA.",Consumer Discretionary
FMC CORP,FMC,"FMC Corp. is an agricultural sciences company, which engages in the provision of solutions to growers and development of pipeline in crop protection, plant health, agriculture, pest control, and turf management. It offers insect control products under the Rynaxypyr and Cyazypyr brands, herbicides under the Authority, Boral, Centium, Command, and Gamit brands, insecticides under the Talstar and Hero brands, flutriafol-based fungicides, and bionematicides under the Quartzo and Presence brands. The company was founded by John Bean in 1883 and is headquartered in Philadelphia, PA.",Materials
MICRON TECHNOLOGY INC,MU,"Micron Technology, Inc. engages in the provision of innovative memory and storage solutions. It operates through the following segments: Compute and Networking Business Unit (CNBU), Mobile Business Unit (MBU), Embedded Business Unit (EBU), and Storage Business Unit (SBU). The CNBU segment includes memory products and solutions sold into client, cloud server, enterprise, graphics, and networking markets. The MBU segment is involved in memory and storage products sold into smartphone and other mobile-device markets. The EBU segment focuses on memory and storage products sold into automotive, industrial, and consumer Markets. The SBU segment consists of SSDs and component-level solutions sold into enterprise and cloud, client, and consumer storage markets. The company was founded by Ward D. Parkinson, Joseph Leon Parkinson, Dennis Wilson, and Doug Pitman on October 5, 1978 and is headquartered in Boise, ID.",Information Technology
3M CO,MMM,"3M Co. is a technology company, which manufactures industrial, safety, and consumer products. It operates through the following segments: Safety and Industrial, Transportation and Electronics, Health Care, Consumer, and Corporate and Unallocated. The Safety and Industrial segment consists of personal safety, industrial adhesives and tapes, abrasives, closure and masking systems, electrical markets, automotive aftermarket, and roofing granules. The Transportation and Electronics segment includes electronics, automotive and aerospace, commercial solutions, advanced materials, and transportation safety. The Health Care segment offers medical and surgical supplies, skin health and infection prevention products, oral care solutions, separation and purification sciences, health information systems, inhalation and transdermal drug delivery systems, and food safety products. The Consumer segment covers consumer healthcare, home care, home improvement, and stationery and office products, such as consumer bandages, braces, supports, respirators, cleaning products, retail abrasives, picture hanging, and consumer air quality solutions. The Corporate and Unallocated segment refers to special items and other corporate expense-net. The company was founded by Henry S. Bryan, Hermon W. Cable, John Dwan, William A. McGonagle, and J. Danley Budd in 1902 and is headquartered in St. Paul, MN.",Industrials
MARVELL TECHNOLOGY INC,MRVL,"Marvell Technology, Inc. engages in the design, development, and sale of integrated circuits. Its products include data processing units, security solutions, automotive, coherent DSP, DCI optical modules, ethernet controllers, ethernet PHYs, ethernet switches, linear driver, PAM DSP, transimpedance amplifiers, fibre channel, HDD, SSD controller, storage accelerators, ASIC, and Marvell government solutions. It operates through the following geographical segments: United States, Singapore, Israel, India, China, and Others. The company was founded by Wei Li Dai and Pantas Sutardja in 1995 and is headquartered in Wilmington, DE.",Information Technology
INTEL CORP,INTC,"Intel Corp. engages in the design, manufacture, and sale of computer products and technologies. It delivers computer, networking, data storage, and communications platforms. The firm operates through the following segments: Client Computing Group (CCG), Data Center and AI (DCAI), Network and Edge (NEX), Mobileye, Accelerated Computing Systems and Graphics (AXG), Intel Foundry Services (IFS), and All Other. The CCG segment consists of platforms designed for notebooks, 2-in-1 systems, desktops, tablets, phones, wireless and wired connectivity products, and mobile communication components. The DCAI segment delivers solutions to cloud service providers and enterprise customers, along with silicon devices for communications service providers and high-performance computing customers. The NEX segment offers computing system solutions from inflexible fixed-function hardware to general-purpose compute, acceleration, and networking devices running cloud native software on programmable hardware. The Mobileye segment develops driving assistance and self-driving solutions. The AXG segment provides products and technologies designed to help customers solve the toughest computational problems. Its products include CPUs for high-performance computing and GPUs targeted for a range of workloads and platforms, from gaming and content creation on client devices to delivering media and gaming in the cloud, and the most demanding high-performance computing and AI workloads on supercomputers. The IFS segment refers to full stack solutions created from the foundry industry ecosystem. The All Other segment represents results from other non-reportable segments and corporate-related charges. The company was founded by Robert Norton Noyce and Gordon Earle Moore on July 18, 1968 and is headquartered in Santa Clara, CA.",Information Technology
CHURCH & DWIGHT CO INC,CHD,"Church & Dwight Co., Inc. engages in the development, manufacture, and marketing of household, personal care, and specialty products. It operates through the following segments: Consumer Domestic, Consumer International, Specialty Products Division (SPD), and Corporate. The Consumer Domestic segment offers household products, such as laundry detergents, fabric softener sheets, cat litter, household cleaning products, and personal care products including antiperspirants, oral care products, depilatories, reproductive health products, oral analgesics, nasal saline moisturizers, and dietary supplements. The Consumer International segment is involved in the personal care, household and over-the-counter products in international subsidiary markets, including Australia, Canada, France, Germany, Japan, Mexico, China, and the United Kingdom. The SPD segment consists of sales to businesses and participates in three product areas namely, animal nutrition, specialty chemicals, and commercial and professional. The Corporate segment includes equity in earnings of affiliates. The company was founded by Dwight John and Austin Church in 1846 and is headquartered in Ewing, NJ.",Consumer Staples
CONSTELLATION ENERGY CORP,CEG,"Constellation Energy Corp. engages in the generation, supply, and marketing of clean electricity, and renewable energy products and solutions. The firm also offers wholesale energy, retail products and services. It operates under the following geographical segments: Mid-Atlantic, Midwest, New York, Electric Reliability Council of Texas (ERCOT), and Other Power Regions Segment. The company was founded in 1960 and is headquartered in Baltimore, MD.",Utilities
ORACLE CORP,ORCL,"Oracle Corp. engages in the provision of products and services that address aspects of corporate information technology environments, including applications and infrastructure technologies. It operates through the following business segments: Cloud and License, Hardware, and Services. The Cloud and License segment markets, sells, and delivers enterprise applications and infrastructure technologies through cloud and on-premise deployment models including cloud services and license support offerings. The Hardware segment provides infrastructure technologies including Oracle Engineered Systems, servers, storage, industry-specific hardware, operating systems, virtualization, management, and other hardware-related software. The Services segment offers consulting, advanced support, and education services. The company was founded by Lawrence Joseph Ellison, Robert Nimrod Miner, and Edward A. Oates on June 16, 1977 and is headquartered in Austin, TX.",Information Technology
OMEGA HEALTHCARE INVESTORS INC,OHI,"Omega Healthcare Investors, Inc. engages in the provision of financing and capital to the long-term healthcare industry with a particular focus on skilled nursing facilities, assisted living facilities, independent living facilities, rehabilitation and acute care facilities, and medical office buildings. The company was founded on March 31, 1992 and is headquartered in Hunt Valley, MD.",Real Estate
INTERNATIONAL BUSINESS MACHINES CORP,IBM,"International Business Machines Corp. is an information technology company, which engages in the provision of integrated solutions that leverage information technology and knowledge of business processes. It operates through the following segments: Software, Consulting, Infrastructure, Financing, and Other. The Software segment combines hybrid cloud platform and software solutions to help clients become more data-driven, and to automate, secure, and modernize their environments. The Consulting segment focuses on integrating skills on strategy, experience, technology and operations by domain and industry. The Infrastructure segment offers solutions for hybrid cloud and is the foundation of the hybrid cloud stack. Infrastructure is optimized for infusing AI into mission-critical transactions and tightly integrated with IBM Software including Red Hat for accelerated hybrid cloud benefits. The Financing segment refers to the client and commercial financing, facilitating IBM clients’ acquisition of IT systems, software, and services. The company was founded by Charles Ranlett Flint and Thomas J. Watson Sr. on June 16, 1911 and is headquartered in Armonk, NY.",Information Technology
CANADIAN PACIFIC KANSAS CITY LTD,CP,"Canadian Pacific Kansas City Ltd. engages in the provision of rail freight transportation services. It offers rail services linking Canada, the United States and Mexico. The company was founded on June 22, 2001, and is headquartered in Calgary, Canada.",Industrials
AUTOMATIC DATA PROCESSING INC,ADP,"Automatic Data Processing, Inc. engages in the provision of business outsourcing solutions in cloud-based human capital management. It operates through the following business segments: Employer Services, Professional Employer Organization Services, and Other. The Employer Services segment provides clients from single-employee small businesses to large enterprises offering human resources outsourcing and technology-based human capital management solutions and cloud-based platforms. The Professional Employer Organization Services segment offers small and mid-sized businesses a human resource outsourcing solution through a co-employment mode. The Other segment includes the certain corporate overhead charges and expenses that have not been allocated to the reportable segments. The company was founded by Henry Taub in 1949 and is headquartered in Roseland, NJ.",Industrials
WHIRLPOOL CORP,WHR,"Whirlpool Corp. engages in the manufacturing and marketing of home appliances. Its products include home laundry appliances, refrigerators and freezers, cooking appliances, home dishwashers, and room air-conditioning equipment, mixers, and portable household appliances. The firm's brands include Whirlpool, KitchenAid, Maytag, Consul, Brastemp, Amana, Bauknecht, JennAir, and Indesit. It operates through the following segments: North America, Europe, Middle East and Africa (EMEA), Latin America, and Asia. The company was founded by Emory Upton, Fred Upton, and Louis C. Upton on November 11, 1911 and is headquartered in Benton Harbor, MI.",Consumer Discretionary
ONEOK INC,OKE,"ONEOK, Inc. engages in gathering, processing, fractionating, transporting, storing and marketing of natural gas. It operates through the following segments: Natural Gas Gathering and Processing, Natural Gas Liquids and Natural Gas Pipelines. The Natural Gas Gathering and Processing segment offers midstream services to producers in North Dakota, Montana, Wyoming, Kansas and Oklahoma. The Natural Gas Liquids segment owns and operates facilities that gather, fractionate, treat and distribute NGLs and store NGL products, in Oklahoma, Kansas, Texas, New Mexico and the Rocky Mountain region, which includes the Williston, Powder River and DJ Basins, where it provides midstream services to producers of NGLs and deliver those products to the two market centers, one in the Mid-Continent in Conway, Kansas and the other in the Gulf Coast in Mont Belvieu, Texas. The Natural Gas Pipelines segment provides transportation and storage services to end users. The company was founded in 1906 and is headquartered in Tulsa, OK.",Energy
SYSCO CORP,SYY,"Sysco Corp. engages in the selling, marketing, and distribution of food products to restaurants, healthcare and educational facilities, and lodging establishments. It operates through the following segments: U.S. Foodservice Operations, International Foodservice Operations, SYGMA, and Other. The U.S. Foodservice Operations segment consists of U.S. Broadline operations, custom-cut meat and seafood companies, FreshPoint, and European Imports. The International Foodservice Operations segment includes operations outside of the United States which distribute a full line of food products and a wide variety of non-food products. The SYGMA segment represents U.S. customized distribution operations serving quick-service chain restaurant customer locations. The Other segment covers hotel supply operations. The company was founded by John F. Baugh in 1969 and is headquartered in Houston, TX.",Consumer Staples
STRYKER CORP,SYK,"Stryker Corp. is a medical technology company, which engages in the provision of products and services that help improve patient and healthcare outcomes. It operates under the MedSurg and Neurotechnology, and Orthopaedics and Spine segments. The MedSurg and Neurotechnology segment includes surgical equipment and navigation systems, endoscopic and communications systems, patient handling, emergency medical equipment, intensive care disposable products, clinical communication, workflow solutions, products for the treatment of acute ischemic and hemorrhagic stroke, traditional brain, and open skull based surgical procedures, orthobiologic, and biosurgery. The Orthopaedics and Spine segment focuses on implants used in hip and knee joint replacements and trauma and extremity surgeries, and cervical, thoracolumbar, and interbody systems used in spinal injury, deformity, and degenerative therapies. The company was founded by Homer H. Stryker in 1941 and is headquartered in Portage, MI.",Health Care
SMITH AO CORP,AOS,"A. O. Smith Corp. manufactures residential and commercial gas and electric water heaters, boilers, tanks, and water treatment products. It operates through the North America and Rest of World segments. The North America segment manufactures and markets comprehensive lines of residential and commercial gas and electric water heaters, boilers, and tanks. The Rest of World segment markets water treatment products in China, Europe, and India. The company was founded by Charles Jeremiah Smith in 1874 and is headquartered in Milwaukee, WI.",Industrials
BROOKFIELD CORP,BN,"Brookfield Corp. engages in the management of public and private investment products and services. It operates through the following business segments: Asset Management, Renewable Power and Transition, Infrastructure, Private Equity, Real Estate and Other Alternatives. The Renewable Power and Transition segment involves the provision of hydro, wind, utility-scale solar, distributed generation, storage, and other technologies. The Infrastructure segment includes the operation of assets in the utilities, transport, midstream, and data sectors. The Private Equity segment focuses on acquiring businesses with barriers entering an industry. The company was founded in 1899 and is headquartered in Toronto, Canada.",Financials
SCHLUMBERGER LTD,SLB,"Schlumberger Ltd. engages in the provision of energy technology. It operates through the following business segments: Digital and Integration, Reservoir Performance, Well Construction, and Production Systems. The Digital and Integration segment involves the combination of digital solutions and data products with its Asset Performance Solutions. The Reservoir Performance segment consists of technologies and services for productivity and performance optimization. The Well Construction segment includes the full portfolio of products and services for well placement and performance, drilling, and wellbore assurance. The Production Systems segment focuses on the development of technologies and provides services to production and recovery from subsurface reservoirs to the surface, into pipelines, and to refineries. The company was founded by Conrad Schlumberger and Marcel Schlumberger in 1926 and is headquartered in Houston, TX.",Energy
ORGANON & CO,OGN,"Organon & Co. is a science based global pharmaceutical company, which develops and delivers innovative health solutions through a portfolio of prescription therapies within women’s health, biosimilars and established brands. The company was founded on March 11, 2020, and is headquartered in Jersey City, NJ.",Health Care
DUKE ENERGY CORP,DUK,"Duke Energy Corp. engages in the distribution of natural gas and energy-related services. It operates through the following segments: Electric Utilities and Infrastructure, Gas Utilities and Infrastructure, and Other. The Electric Utilities and Infrastructure segment conducts operations in regulated electric utilities in the Carolinas, Florida and the Midwest. The Gas Utilities and Infrastructure segment focuses on Piedmont, natural gas local distribution companies in Ohio and Kentucky, and natural gas storage and midstream pipeline investments. The Other segment includes interest expense on holding company debt, unallocated corporate costs, and Bison which is a wholly owned captive insurance company. The company was founded on April 30, 1904 and is headquartered in Charlotte, NC.",Utilities
SONOCO PRODUCTS CO,SON,"Sonoco Products Co. engages in the manufacture of industrial and consumer packaging products and services. It operates through the following segments: Consumer Packaging, Industrial Paper Packaging, and All Other. The Consumer Packaging segment offers round and shaped rigid containers, fiber and plastic caulk and adhesive tubes, and aluminum, steel, and peelable membrane easy-open closures for paper and metal cans. The Industrial Paper Packaging segment produces recycled paperboard, chipboard, tubeboard, lightweight corestock, and boxboard. The All Other segment consists of corporate expenses allocated as operating costs through the business segments. The company was founded on May 10, 1899, and is headquartered at Hartsville, SC.",Materials
TEXAS INSTRUMENTS INC,TXN,"Texas Instruments Incorporated engages in the design and manufacture of semiconductors. It operates through the following segments: Analog, Embedded Processing, and Other. The Analog segment semiconductors change real-world signals, such as sound, temperature, pressure or images, by conditioning them, amplifying them and often converting them to a stream of digital data that can be processed by other semiconductors, such as embedded processors. The Embedded Processing segment involves handling specific tasks and can be optimized for various combinations of performance, power, and cost, depending on the application. The company was founded in 1930 and is headquartered in Dallas, TX.",Information Technology
ARES CAPITAL CORP,ARCC,"Ares Capital Corp is a traded fund invests in companies located in the United States and Canada with an EBITDA of USD 10 - 250 million. The fund targets companies operating in the fields of health care services, software & services, consumer durables & apparel, energy, food & beverage and retail. It provides financing in the form of debt and equity for mezzanine, buyouts, acquisitions, recapitalizations, restructurings, rescue financing, growth capital and general refinancing with an investment size ranging from USD 10 - 500 million. The fund acquires controlling Interest. It acts as lead investor and takes a seat on the board of directors.",Financials
SMUCKER JM CO,SJM,"The J. M. Smucker Co. engages in the manufacture and marketing of food and beverage products. It operates through the following segments: U.S. Retail Coffee, U.S. Retail Frozen Handheld and Spreads, U.S. Retail Pet Foods, and Sweet Baked Snacks. The U.S. Retail Coffee segment includes the domestic sales of Folgers, Dunkin’, and Café Bustelo branded coffee. The U.S. Retail Frozen Handheld and Spreads segment focuses on domestic sales of Smucker’s and Jif branded products. The U.S. Retail Pet Foods segment is involved in the domestic sales of Meow Mix, Milk-Bone, Pup-Peroni, and Canine Carry Outs branded products. The Sweet Baked Snacks segment refers to all domestic and foreign sales of Hostess and Voortman branded products in all channels. The company was founded by Jerome Monroe Smucker in 1897 and is headquartered in Orrville, OH.",Consumer Staples
HUNTINGTON INGALLS INDUSTRIES INC,HII,"Huntington Ingalls Industries, Inc. engages in the shipbuilding business. It operates through the following business segments: Ingalls, Newport News, and Mission Technologies. The Ingalls segment designs and constructs non-nuclear ships, including amphibious assault ships, expeditionary warfare ships, surface combatants, and national security cutters (NSC). The Newport News segment designs and builds nuclear-powered aircraft carriers and submarines, and the refueling and overhaul and the inactivation of nuclear-powered aircraft carriers. The Mission Technologies segment includes business groups focused on high-end information technology (IT) and mission-based solutions for DoD, intelligence, and federal civilian customers, life-cycle sustainment services to the U.S. Navy fleet and other maritime customers, unmanned, autonomous systems, and nuclear management and operations and environmental management services for the Department of Energy (DoE), DoD, state and local governments, and private sector companies. The company was founded on August 4, 2010 and is headquartered in Newport News, VA.",Industrials
ABBOTT LABORATORIES,ABT,"Abbott Laboratories engages in the discovery, development, manufacture, and sale of healthcare products. It operates through the following segments: Established Pharmaceutical Products, Diagnostic Products, Nutritional Products, and Medical Devices. The Established Pharmaceutical Products segment refers to the line of branded generic pharmaceuticals manufactured worldwide and marketed and sold outside the United States in emerging markets. The Diagnostic Products segment markets diagnostic systems and tests for blood banks, hospitals, commercial laboratories, clinics, physicians' offices, retailers, government agencies, and alternate care testing sites. The Nutritional Products segment caters to the worldwide sales of pediatric and adult nutritional products. The Medical Devices segment includes a broad line of rhythm management, electrophysiology, heart failure, vascular and structural heart devices for the treatment of cardiovascular diseases, and diabetes care and continuous glucose monitoring products, as well as neuromodulation devices for the management of chronic pain and movement disorders. The company was founded by Wallace Calvin Abbott in 1888 and is headquartered in Abbott Park, IL.",Health Care
EATON CORP PLC,ETN,"Eaton Corp. Plc is a power management company, which provides energy-efficient solutions for electrical, hydraulic, and mechanical power. It operates through the following segments: Electrical Americas and Electrical Global; Aerospace, Vehicle, and eMobility. The Electrical Americas and Electrical Global segments engage in sales contracts for electrical components, industrial components, power distribution and assemblies, residential products, single and three phase power quality, wiring devices, circuit protection, utility power distribution, power reliability equipment, and service. The Aerospace segment supplies aerospace fuel, hydraulics, and pneumatic systems for commercial and military use. The Vehicle segment deals with the design, manufacture, marketing, and supply of drivetrain and powertrain systems and critical components that reduce emissions and improve fuel economy, stability, performance and safety of cars, light trucks and commercial vehicles. The eMobility segment designs, manufactures, markets, and supplies electrical and electronic components and systems that improve the power management and performance of both on-road and off-road vehicles. The company was founded in 1911 and is headquartered in Dublin, Ireland.",Industrials
